year,month,value
1871,1,-4.169999999999998
1871,2,1.6533333333333307
1871,3,0.986666666666669
1871,4,0.12666666666666604
1871,5,-1.0100000000000002
1871,6,-3.4933333333333336
1871,7,0.23333333333333428
1871,8,0.1566666666666663
1871,9,1.8299999999999992
1871,10,-2.8866666666666667
1871,11,-3.339999999999999
1871,12,-4.1800000000000015
1872,1,0.4300000000000015
1872,2,2.1533333333333307
1872,3,1.0866666666666687
1872,4,1.3266666666666658
1872,5,-1.31
1872,6,-0.6933333333333336
1872,7,0.8333333333333348
1872,8,-1.7433333333333336
1872,9,0.02999999999999936
1872,10,-1.7866666666666666
1872,11,0.0600000000000005
1872,12,1.1199999999999992
1873,1,1.8300000000000018
1873,2,-1.5466666666666686
1873,3,2.286666666666669
1873,4,-1.373333333333334
1873,5,-2.81
1873,6,-0.39333333333333353
1873,7,1.6333333333333346
1873,8,0.8566666666666665
1873,9,-1.4700000000000004
1873,10,-1.586666666666667
1873,11,0.5600000000000005
1873,12,1.5199999999999996
1874,1,0.5300000000000011
1874,2,-1.1466666666666683
1874,3,-1.513333333333331
1874,4,1.6266666666666656
1874,5,-3.41
1874,6,0.8066666666666666
1874,7,2.2333333333333343
1874,8,-1.8433333333333337
1874,9,1.4299999999999997
1874,10,-0.08666666666666678
1874,11,-1.7399999999999993
1874,12,-6.1800000000000015
1875,1,1.6300000000000017
1875,2,-3.5466666666666686
1875,3,-1.9133333333333313
1875,4,0.22666666666666568
1875,5,2.19
1875,6,1.1066666666666665
1875,7,-1.1666666666666652
1875,8,1.256666666666666
1875,9,1.0299999999999994
1875,10,-3.2866666666666666
1875,11,-3.7399999999999993
1875,12,-3.780000000000001
1876,1,0.33000000000000185
1876,2,-0.5466666666666686
1876,3,-1.6133333333333306
1876,4,-0.6733333333333347
1876,5,-3.41
1876,6,0.30666666666666664
1876,7,0.3333333333333348
1876,8,0.6566666666666663
1876,9,-2.7700000000000005
1876,10,0.4133333333333332
1876,11,-2.4399999999999995
1876,12,1.7199999999999989
1877,1,0.9300000000000015
1877,2,-0.946666666666669
1877,3,-2.713333333333332
1877,4,-0.4733333333333345
1877,5,-2.31
1877,6,2.8066666666666666
1877,7,-1.5666666666666655
1877,8,0.5566666666666666
1877,9,-3.1700000000000004
