year,month,value
1871,1,-4.333333333333334
1871,2,1.01
1871,3,0.7366666666666668
1871,4,1.0133333333333336
1871,5,0.09333333333333371
1871,6,-3.2066666666666688
1871,7,0.6600000000000001
1871,8,0.14999999999999858
1871,9,1.9633333333333347
1871,10,-1.5100000000000007
1871,11,-3.5933333333333337
1871,12,-6.083333333333334
1872,1,1.9666666666666668
1872,2,1.01
1872,3,1.5366666666666668
1872,4,1.1133333333333333
1872,5,-0.10666666666666735
1872,6,-0.5066666666666695
1872,7,0.46000000000000085
1872,8,-1.3500000000000014
1872,9,0.5633333333333344
1872,10,1.8899999999999997
1872,11,1.9066666666666665
1872,12,4.916666666666667
1873,1,3.466666666666667
1873,2,-0.69
1873,3,2.736666666666667
1873,4,-1.0866666666666664
1873,5,-1.5066666666666668
1873,6,0.19333333333333158
1873,7,1.6600000000000001
1873,8,1.2499999999999982
1873,9,-0.23666666666666458
1873,10,0.4899999999999993
1873,11,0.10666666666666669
1873,12,-1.483333333333333
1874,1,1.166666666666667
1874,2,-1.0899999999999999
1874,3,-0.6633333333333332
1874,4,1.5133333333333336
1874,5,-2.8066666666666666
1874,6,0.8933333333333309
1874,7,2.0600000000000005
1874,8,-1.1500000000000021
1874,9,1.863333333333335
1874,10,1.5899999999999999
1874,11,-2.6933333333333334
1874,12,-2.183333333333333
1875,1,2.8666666666666667
1875,2,-3.8899999999999997
1875,3,-1.7633333333333332
1875,4,-0.3866666666666667
1875,5,2.993333333333334
1875,6,0.7933333333333312
1875,7,-1.0399999999999991
1875,8,1.3499999999999979
1875,9,1.363333333333335
1875,10,-0.8100000000000005
1875,11,-0.8933333333333333
1875,12,-2.5833333333333335
1876,1,-0.033333333333333215
1876,2,1.41
1876,3,0.6366666666666669
1876,4,0.413333333333334
1876,5,-2.6066666666666665
1876,6,0.19333333333333158
1876,7,0.6600000000000001
1876,8,0.6499999999999986
1876,9,-1.0366666666666653
1876,10,2.6899999999999995
1876,11,-1.1933333333333334
1876,12,4.216666666666667
1877,1,3.8666666666666667
1877,2,2.21
1877,3,-1.163333333333333
1877,4,0.11333333333333329
1877,5,-1.5066666666666668
1877,6,2.893333333333331
1877,7,-0.6400000000000006
1877,8,1.4499999999999975
1877,9,-2.0366666666666653
1877,10,-1.6100000000000003
1877,11,1.4066666666666665
1877,12,0.3166666666666669
1878,1,-1.6333333333333329
1878,2,0.6099999999999999
1878,3,-1.0633333333333332
1878,4,0.013333333333333641
1878,5,2.293333333333333
1878,6,-0.006666666666669485
1878,7,-1.0399999999999991
1878,8,0.14999999999999858
1878,9,-0.23666666666666458
1878,10,1.5899999999999999
1878,11,-1.5933333333333333
1878,12,-1.983333333333333
1879,1,1.166666666666667
1879,2,1.51
1879,3,1.2366666666666668
1879,4,-1.3866666666666663
1879,5,-3.206666666666667
1879,6,0.5933333333333319
1879,7,-2.4399999999999995
1879,8,1.7499999999999982
1879,9,-0.03666666666666529
1879,10,-1.1100000000000003
1879,11,-3.1933333333333334
1879,12,-4.4833333333333325
