year,month,value
1871,1,-5.403333333333333
1871,2,-0.4933333333333332
1871,3,-1.546666666666666
1871,4,-0.9399999999999977
1871,5,-1.0999999999999979
1871,6,-4.203333333333335
1871,7,-1.803333333333331
1871,8,-1.4066666666666663
1871,9,0.18333333333333357
1871,10,-3.336666666666668
1871,11,-3.833333333333333
1871,12,-7.906666666666666
1872,1,-0.8033333333333333
1872,2,0.20666666666666678
1872,3,-0.8466666666666658
1872,4,-0.3399999999999981
1872,5,-2.4999999999999982
1872,6,-2.3033333333333346
1872,7,-1.303333333333331
1872,8,-3.706666666666667
1872,9,-0.7166666666666668
1872,10,-1.2366666666666681
1872,11,-0.4333333333333331
1872,12,0.7933333333333331
1873,1,-0.7033333333333334
1873,2,-2.993333333333333
1873,3,0.1533333333333342
1873,4,-2.5399999999999974
1873,5,-2.8999999999999986
1873,6,-1.3033333333333346
1873,7,-0.40333333333333243
1873,8,-0.5066666666666677
1873,9,-1.5166666666666675
1873,10,-0.8366666666666678
1873,11,-0.5333333333333332
1873,12,-3.506666666666667
1874,1,-1.4033333333333333
1874,2,-1.1933333333333334
1874,3,-1.9466666666666663
1874,4,0.7600000000000016
1874,5,-3.6999999999999993
1874,6,-0.10333333333333528
1874,7,0.3966666666666683
1874,8,-2.9066666666666663
1874,9,0.38333333333333286
1874,10,-0.9366666666666674
1874,11,-3.233333333333333
1874,12,-5.506666666666667
1875,1,-1.2033333333333334
1875,2,-4.3933333333333335
1875,3,-2.646666666666666
1875,4,-0.8399999999999981
1875,5,1.0000000000000018
1875,6,-0.5033333333333339
1875,7,-3.303333333333331
1875,8,-1.1066666666666656
1875,9,0.38333333333333286
1875,10,-2.336666666666668
1875,11,-2.633333333333333
1875,12,-4.806666666666667
1876,1,-1.3033333333333332
1876,2,-0.2933333333333332
1876,3,-2.746666666666666
1876,4,-1.2399999999999984
1876,5,-3.599999999999998
1876,6,-1.3033333333333346
1876,7,-0.7033333333333331
1876,8,-0.9066666666666663
1876,9,-2.916666666666666
1876,10,0.5633333333333326
1876,11,-2.433333333333333
1876,12,1.293333333333333
1877,1,1.3966666666666667
1877,2,0.906666666666667
1877,3,-3.246666666666666
1877,4,-1.339999999999998
1877,5,-3.299999999999999
1877,6,1.1966666666666654
1877,7,-2.703333333333333
1877,8,-0.706666666666667
1877,9,-2.716666666666667
1877,10,-3.736666666666668
1877,11,-0.733333333333333
1877,12,-2.106666666666667
1878,1,-4.1033333333333335
1878,2,-1.4933333333333332
1878,3,-2.746666666666666
1878,4,-1.7399999999999984
1878,5,-0.29999999999999893
1878,6,-2.1033333333333353
1878,7,-2.1033333333333317
1878,8,-2.3066666666666684
1878,9,-1.416666666666666
1878,10,-1.2366666666666681
1878,11,-2.633333333333333
1878,12,-4.006666666666667
1879,1,-1.6033333333333333
1879,2,-0.3933333333333333
1879,3,-0.9466666666666663
1879,4,-3.0399999999999974
1879,5,-5.099999999999998
1879,6,-0.8033333333333346
1879,7,-4.603333333333332
1879,8,-0.706666666666667
1879,9,-1.2166666666666668
1879,10,-3.536666666666668
1879,11,-3.333333333333333
1879,12,-8.406666666666666
1880,1,-5.1033333333333335
1880,2,-0.09333333333333327
1880,3,1.0533333333333337
1880,4,-0.3399999999999981
1880,5,-1.6999999999999993
1880,6,-2.903333333333336
1880,7,-1.0033333333333303
1880,8,-2.0066666666666677
1880,9,-0.6166666666666671
1880,10,-1.1366666666666685
1880,11,-1.4333333333333331
1880,12,0.5933333333333332
1881,1,-3.6033333333333335
1881,2,-0.19333333333333313
1881,3,-0.546666666666666
1881,4,-0.639999999999997
1881,5,-1.4999999999999982
1881,6,-1.3033333333333346
1881,7,0.8966666666666683
1881,8,-1.3066666666666684
1881,9,-2.8166666666666664
1881,10,-4.636666666666668
1881,11,-0.13333333333333286
1881,12,-2.106666666666667
1882,1,-1.8033333333333332
1882,2,-0.8933333333333332
1882,3,0.25333333333333385
1882,4,-1.0399999999999974
1882,5,-0.9999999999999982
1882,6,-2.3033333333333346
1882,7,-3.5033333333333303
1882,8,-3.206666666666667
1882,9,-3.5166666666666675
1882,10,-1.4366666666666674
1882,11,-1.9333333333333331
1882,12,-0.5066666666666668
1883,1,0.29666666666666675
1883,2,1.1066666666666667
1883,3,-4.246666666666666
1883,4,-1.339999999999998
1883,5,-0.9999999999999982
1883,6,-2.1033333333333353
1883,7,-3.6033333333333317
1883,8,-2.206666666666667
1883,9,-2.5166666666666675
1883,10,-3.336666666666668
1883,11,-1.6333333333333329
