year,month,value
1871,1,-5.263333333333334
1871,2,0.026666666666666394
1871,3,-0.09333333333333371
1871,4,0.8433333333333337
1871,5,-1.1566666666666663
1871,6,-2.8700000000000028
1871,7,-0.06666666666666643
1871,8,0.36999999999999744
1871,9,0.8066666666666666
1871,10,-3.219999999999999
1871,11,-3.916666666666666
1871,12,-7.526666666666667
1872,1,0.6366666666666666
1872,2,0.4266666666666663
1872,3,0.5066666666666659
1872,4,0.6433333333333326
1872,5,-0.8566666666666674
1872,6,-0.37000000000000277
1872,7,0.6333333333333364
1872,8,-1.730000000000004
1872,9,-0.39333333333333265
1872,10,-0.9199999999999999
1872,11,2.283333333333334
1872,12,2.173333333333333
1873,1,1.0366666666666666
1873,2,-0.9733333333333336
1873,3,1.506666666666666
1873,4,-1.0566666666666666
1873,5,-1.8566666666666674
1873,6,0.22999999999999687
1873,7,1.1333333333333364
1873,8,1.269999999999996
1873,9,-1.5933333333333337
1873,10,-0.21999999999999886
1873,11,-0.11666666666666625
1873,12,-1.626666666666667
1874,1,0.1366666666666666
1874,2,-1.3733333333333335
1874,3,-1.0933333333333337
1874,4,2.043333333333333
1874,5,-2.756666666666666
1874,6,0.42999999999999616
1874,7,2.033333333333335
1874,8,-2.1300000000000043
1874,9,0.10666666666666735
1874,10,-0.8199999999999985
1874,11,-2.716666666666666
1874,12,-2.126666666666667
1875,1,2.336666666666667
1875,2,-4.373333333333333
1875,3,-2.293333333333334
1875,4,-0.25666666666666593
1875,5,1.9433333333333334
1875,6,0.8299999999999983
1875,7,-2.0666666666666664
1875,8,1.0699999999999967
1875,9,0.4066666666666663
1875,10,-2.119999999999999
1875,11,-0.6166666666666663
1875,12,-3.9266666666666667
1876,1,-3.663333333333333
1876,2,0.5266666666666664
1876,3,0.0066666666666659324
1876,4,0.24333333333333407
1876,5,-2.6566666666666663
1876,6,-0.1700000000000017
1876,7,0.7333333333333343
1876,8,1.0699999999999967
1876,9,-2.0933333333333337
1876,10,1.3800000000000008
1876,11,-1.416666666666666
1876,12,2.9733333333333327
1877,1,3.0366666666666666
1877,2,2.4266666666666663
1877,3,-2.193333333333334
1877,4,-0.5566666666666666
1877,5,-2.5566666666666666
1877,6,2.929999999999996
1877,7,-1.1666666666666643
1877,8,0.5699999999999967
1877,9,-3.293333333333333
1877,10,-2.919999999999999
1877,11,1.8833333333333337
1877,12,0.17333333333333312
1878,1,-2.0633333333333335
1878,2,-0.17333333333333334
1878,3,-1.3933333333333335
1878,4,0.44333333333333336
1878,5,1.043333333333333
1878,6,-0.6700000000000035
1878,7,-1.466666666666665
1878,8,-0.5300000000000047
1878,9,-0.39333333333333265
1878,10,-0.3199999999999985
1878,11,-1.816666666666666
1878,12,-3.326666666666667
1879,1,-0.9633333333333334
1879,2,0.32666666666666666
1879,3,-0.9933333333333341
1879,4,-2.1566666666666663
1879,5,-3.8566666666666674
1879,6,0.22999999999999687
1879,7,-3.2666666666666657
1879,8,0.8699999999999974
1879,9,-0.4933333333333323
1879,10,-2.619999999999999
1879,11,-3.716666666666666
1879,12,-11.326666666666666
1880,1,-4.963333333333333
1880,2,-0.17333333333333334
1880,3,1.9066666666666663
1880,4,0.24333333333333407
1880,5,-1.0566666666666666
1880,6,-1.4700000000000024
1880,7,0.03333333333333499
1880,8,-1.1300000000000026
1880,9,-0.39333333333333265
1880,10,-1.3199999999999985
1880,11,0.18333333333333357
1880,12,4.673333333333333
1881,1,-4.463333333333334
1881,2,0.5266666666666664
1881,3,0.8066666666666666
1881,4,-1.2566666666666668
1881,5,-0.956666666666667
1881,6,-0.37000000000000277
1881,7,2.2333333333333343
1881,8,-0.23000000000000398
1881,9,-2.293333333333333
1881,10,-5.02
1881,11,1.583333333333334
1881,12,-0.5266666666666668
1882,1,-1.2633333333333334
1882,2,-0.8733333333333335
1882,3,1.3066666666666666
1882,4,0.043333333333333
1882,5,0.3433333333333337
1882,6,-0.8700000000000028
1882,7,-2.3666666666666636
1882,8,-2.0300000000000047
1882,9,-2.4933333333333323
1882,10,-0.21999999999999886
1882,11,0.8833333333333337
1882,12,0.8733333333333333
1883,1,0.33666666666666656
1883,2,1.8266666666666667
1883,3,-3.8933333333333335
1883,4,-0.7566666666666659
1883,5,0.44333333333333336
1883,6,-0.7700000000000031
1883,7,-2.1666666666666643
1883,8,-1.230000000000004
1883,9,-1.5933333333333337
1883,10,-1.6199999999999992
1883,11,0.4833333333333343
1883,12,-0.8266666666666669
1884,1,2.4366666666666665
1884,2,1.1266666666666665
1884,3,0.7066666666666661
1884,4,-1.6566666666666663
1884,5,0.8433333333333337
1884,6,-2.6700000000000035
1884,7,0.6333333333333364
1884,8,0.36999999999999744
1884,9,-0.8933333333333326
1884,10,-1.7199999999999989
1884,11,-1.916666666666666
1884,12,-0.02666666666666684
1885,1,-3.663333333333333
1885,2,2.526666666666667
1885,3,-1.493333333333334
1885,4,0.6433333333333326
1885,5,-2.456666666666667
1885,6,1.5299999999999976
1885,7,0.1333333333333364
1885,8,-1.4300000000000033
1885,9,-1.793333333333333
1885,10,-2.8199999999999994
1885,11,-0.01666666666666572
1885,12,-2.026666666666667
1886,1,-1.3633333333333333
1886,2,-3.7733333333333334
1886,3,-2.193333333333334
1886,4,0.9433333333333334
1886,5,-0.1566666666666663
1886,6,-1.9700000000000024
1886,7,-0.466666666666665
1886,8,-0.5300000000000047
1886,9,1.0066666666666677
1886,10,-0.019999999999999574
1886,11,0.38333333333333375
1886,12,-0.12666666666666693
1887,1,-3.4633333333333334
1887,2,-3.173333333333334
