year,month,value
1871,1,-5.156666666666666
1871,2,1.303333333333331
1871,3,0.24666666666666703
1871,4,-0.7299999999999991
1871,5,-2.24
1871,6,-4.663333333333334
1871,7,-1.0066666666666686
1871,8,-1.1066666666666665
1871,9,1.7166666666666655
1871,10,-3.1366666666666663
1871,11,-3.7199999999999993
1871,12,-4.6066666666666665
1872,1,-0.5566666666666666
1872,2,1.803333333333331
1872,3,0.3466666666666667
1872,4,0.47000000000000064
1872,5,-2.54
1872,6,-1.8633333333333335
1872,7,-0.40666666666666806
1872,8,-3.0066666666666664
1872,9,-0.08333333333333437
1872,10,-2.036666666666666
1872,11,-0.31999999999999984
1872,12,0.6933333333333342
1873,1,0.8433333333333337
1873,2,-1.8966666666666683
1873,3,1.5466666666666669
1873,4,-2.229999999999999
1873,5,-4.04
1873,6,-1.5633333333333335
1873,7,0.39333333333333176
1873,8,-0.4066666666666663
1873,9,-1.5833333333333341
1873,10,-1.8366666666666662
1873,11,0.18000000000000016
1873,12,1.0933333333333346
1874,1,-0.456666666666667
1874,2,-1.496666666666668
1874,3,-2.253333333333333
1874,4,0.7700000000000005
1874,5,-4.64
1874,6,-0.3633333333333333
1874,7,0.9933333333333314
1874,8,-3.1066666666666665
1874,9,1.316666666666666
1874,10,-0.3366666666666662
1874,11,-2.1199999999999997
1874,12,-6.6066666666666665
1875,1,0.6433333333333335
1875,2,-3.8966666666666683
1875,3,-2.6533333333333333
1875,4,-0.6299999999999994
1875,5,0.96
1875,6,-0.06333333333333346
1875,7,-2.406666666666668
1875,8,-0.006666666666666821
1875,9,0.9166666666666656
1875,10,-3.536666666666666
1875,11,-4.119999999999999
1875,12,-4.206666666666666
1876,1,-0.6566666666666663
1876,2,-0.8966666666666683
1876,3,-2.3533333333333326
1876,4,-1.5299999999999998
1876,5,-4.64
1876,6,-0.8633333333333333
1876,7,-0.9066666666666681
1876,8,-0.6066666666666665
1876,9,-2.883333333333334
1876,10,0.16333333333333377
1876,11,-2.82
1876,12,1.293333333333334
1877,1,-0.05666666666666664
1877,2,-1.2966666666666686
1877,3,-3.453333333333334
1877,4,-1.3299999999999996
1877,5,-3.54
1877,6,1.6366666666666667
1877,7,-2.8066666666666684
1877,8,-0.7066666666666661
1877,9,-3.283333333333334
1877,10,-4.336666666666666
1877,11,0.6800000000000002
1877,12,-2.8066666666666658
1878,1,-3.6566666666666663
1878,2,2.003333333333331
1878,3,-3.3533333333333326
