year,month,value
1871,1,-5.316666666666666
1871,2,1.8199999999999998
1871,3,-0.21999999999999975
1871,4,-0.4400000000000004
1871,5,-1.9166666666666643
1871,6,-5.153333333333331
1871,7,-1.650000000000004
1871,8,-1.253333333333332
1871,9,1.463333333333333
1871,10,-2.666666666666665
1871,11,-4.793333333333333
1871,12,-4.716666666666667
1872,1,0.18333333333333401
1872,2,1.6199999999999999
1872,3,0.28000000000000025
1872,4,-0.34000000000000075
1872,5,-3.016666666666664
1872,6,-2.053333333333331
1872,7,-0.9500000000000046
1872,8,-3.553333333333333
1872,9,0.16333333333333222
1872,10,-1.1666666666666652
1872,11,0.7066666666666666
1872,12,1.6833333333333336
1873,1,1.083333333333334
1873,2,-1.4800000000000002
1873,3,1.1800000000000002
1873,4,-2.74
1873,5,-3.8166666666666647
1873,6,-1.3533333333333317
1873,7,0.14999999999999503
1873,8,-0.5533333333333328
1873,9,-2.1366666666666667
1873,10,-1.466666666666665
1873,11,-0.9933333333333332
1873,12,-1.1166666666666667
1874,1,0.08333333333333393
1874,2,-1.3800000000000001
1874,3,-1.9199999999999997
1874,4,0.5599999999999996
1874,5,-5.416666666666664
1874,6,-1.053333333333331
1874,7,0.5499999999999954
1874,8,-3.253333333333332
1874,9,1.2633333333333336
1874,10,0.43333333333333535
1874,11,-2.493333333333333
1874,12,-5.616666666666667
1875,1,0.683333333333334
1875,2,-4.58
1875,3,-2.82
1875,4,-0.2400000000000002
1875,5,0.783333333333335
1875,6,-0.8533333333333317
1875,7,-3.350000000000005
1875,8,-0.45333333333333314
1875,9,1.1633333333333322
1875,10,-2.766666666666665
1875,11,-2.6933333333333334
1875,12,-3.516666666666666
1876,1,-1.116666666666666
1876,2,0.11999999999999988
1876,3,-2.2199999999999998
1876,4,-1.6400000000000006
1876,5,-5.016666666666664
1876,6,-1.1533333333333307
1876,7,-0.7500000000000036
1876,8,-0.3533333333333317
1876,9,-2.336666666666668
1876,10,1.4333333333333345
1876,11,-1.8933333333333333
1876,12,2.0833333333333335
1877,1,1.183333333333334
1877,2,-0.08000000000000007
1877,3,-3.32
1877,4,-1.2400000000000002
1877,5,-4.216666666666664
1877,6,1.7466666666666697
1877,7,-2.650000000000004
1877,8,-0.7533333333333321
1877,9,-3.1366666666666667
1877,10,-3.466666666666665
1877,11,0.006666666666666821
1877,12,-2.5166666666666666
1878,1,-3.3166666666666664
1878,2,1.6199999999999999
1878,3,-3.42
1878,4,-1.0400000000000005
1878,5,-0.4166666666666643
1878,6,-1.6533333333333307
1878,7,-2.5500000000000043
1878,8,-2.053333333333333
1878,9,-1.036666666666667
1878,10,-0.8666666666666645
1878,11,-3.3933333333333335
1878,12,-4.516666666666667
1879,1,-1.016666666666666
1879,2,-1.0800000000000003
1879,3,-0.21999999999999975
1879,4,-3.74
1879,5,-5.716666666666664
1879,6,-1.2533333333333303
1879,7,-4.7500000000000036
1879,8,-0.05333333333333279
1879,9,-1.2366666666666664
1879,10,-2.166666666666665
1879,11,-4.393333333333333
1879,12,-4.416666666666667
1880,1,-2.416666666666666
1880,2,1.42
1880,3,2.58
1880,4,-0.54
1880,5,-2.6166666666666645
1880,6,-3.553333333333331
1880,7,-0.9500000000000046
1880,8,-2.6533333333333324
1880,9,-0.7366666666666664
1880,10,-1.3666666666666645
1880,11,-0.9933333333333332
1880,12,1.7833333333333332
1881,1,-5.116666666666666
1881,2,1.22
1881,3,0.28000000000000025
1881,4,-1.6400000000000006
1881,5,-2.8166666666666647
1881,6,-2.053333333333331
1881,7,1.0499999999999972
1881,8,-1.6533333333333324
1881,9,-3.1366666666666667
1881,10,-6.3666666666666645
1881,11,2.0066666666666664
1881,12,-1.2166666666666668
1882,1,2.183333333333334
1882,2,0.41999999999999993
1882,3,0.9800000000000004
1882,4,-1.7400000000000002
1882,5,-1.7166666666666641
1882,6,-3.1533333333333307
1882,7,-3.7500000000000036
1882,8,-3.8533333333333317
1882,9,-3.1366666666666667
1882,10,-1.3666666666666645
1882,11,-1.3933333333333333
1882,12,-0.11666666666666659
1883,1,-0.316666666666666
1883,2,1.6199999999999999
1883,3,-5.22
1883,4,-1.7400000000000002
1883,5,-1.516666666666664
1883,6,-1.8533333333333317
1883,7,-3.350000000000005
1883,8,-2.053333333333333
1883,9,-2.336666666666668
1883,10,-2.0666666666666647
1883,11,-0.8933333333333333
1883,12,-2.2166666666666663
1884,1,1.383333333333334
1884,2,1.7199999999999998
1884,3,1.4800000000000004
1884,4,-1.3400000000000003
1884,5,-0.016666666666663943
1884,6,-4.953333333333331
1884,7,-0.4500000000000046
1884,8,-1.0533333333333328
1884,9,0.06333333333333258
1884,10,-4.066666666666665
1884,11,-2.793333333333333
1884,12,-1.4166666666666665
1885,1,-2.6166666666666663
1885,2,2.12
1885,3,-2.0199999999999996
1885,4,-0.6400000000000006
1885,5,-5.416666666666664
1885,6,1.5466666666666686
1885,7,0.14999999999999503
1885,8,-2.053333333333333
1885,9,-2.036666666666667
1885,10,-4.366666666666665
1885,11,-0.6933333333333334
1885,12,-0.8166666666666665
1886,1,-2.916666666666666
1886,2,-2.6799999999999997
1886,3,-2.1199999999999997
1886,4,1.2599999999999998
1886,5,-0.4166666666666643
1886,6,-2.553333333333331
1886,7,0.04999999999999538
1886,8,-1.5533333333333328
1886,9,2.2633333333333336
1886,10,0.6333333333333355
1886,11,-0.8933333333333333
1886,12,-3.6166666666666667
1887,1,-2.416666666666666
1887,2,-1.9800000000000002
1887,3,-2.82
1887,4,-0.7400000000000002
1887,5,-4.016666666666664
1887,6,1.3466666666666693
1887,7,1.3499999999999943
1887,8,-0.8533333333333317
1887,9,-1.036666666666667
1887,10,-6.166666666666664
1887,11,-1.5933333333333333
1887,12,-4.116666666666667
1888,1,-2.0166666666666657
1888,2,-3.4799999999999995
1888,3,-3.7199999999999998
1888,4,-3.5400000000000005
1888,5,-0.016666666666663943
1888,6,-0.9533333333333314
1888,7,-4.550000000000004
1888,8,-3.1533333333333324
1888,9,-0.4366666666666674
1888,10,-3.366666666666665
1888,11,0.20666666666666655
1888,12,2.0833333333333335
1889,1,-2.416666666666666
1889,2,-5.18
1889,3,-4.619999999999999
1889,4,-2.8400000000000003
1889,5,-0.4166666666666643
1889,6,-0.2533333333333303
1889,7,-2.850000000000005
1889,8,-3.253333333333332
1889,9,-2.536666666666667
1889,10,-2.766666666666665
1889,11,0.10666666666666691
1889,12,-4.416666666666667
1890,1,2.9833333333333343
1890,2,-3.4799999999999995
1890,3,-1.0199999999999998
1890,4,-2.24
1890,5,-1.016666666666664
1890,6,-2.6533333333333307
1890,7,-4.050000000000004
1890,8,-2.953333333333333
1890,9,-1.3366666666666678
1890,10,-2.766666666666665
1890,11,-2.8933333333333335
1890,12,-4.516666666666667
1891,1,-5.816666666666666
1891,2,-0.5800000000000001
1891,3,-2.2199999999999998
1891,4,-3.74
1891,5,-2.516666666666664
1891,6,-1.553333333333331
1891,7,-3.5500000000000043
1891,8,-3.3533333333333317
1891,9,0.16333333333333222
1891,10,-0.06666666666666465
1891,11,-1.6933333333333334
1891,12,0.18333333333333335
1892,1,-1.7166666666666661
1892,2,-0.6800000000000002
1892,3,-4.42
1892,4,-0.2400000000000002
1892,5,-1.3166666666666647
1892,6,-1.2533333333333303
1892,7,-2.4500000000000046
