year,month,value
1871,1,-2.823333333333334
1871,2,0.43666666666666565
1871,3,0.6133333333333324
1871,4,0.58
1871,5,-0.29000000000000004
1871,6,-3.0
1871,7,0.5800000000000018
1871,8,-0.009999999999999787
1871,9,1.5499999999999998
1871,10,-0.9733333333333332
1871,11,-2.2633333333333336
1871,12,-4.806666666666665
1872,1,0.876666666666666
1872,2,-0.7633333333333345
1872,3,0.9133333333333322
1872,4,1.08
1872,5,-0.3900000000000001
1872,6,0.0
1872,7,0.28000000000000114
1872,8,-1.1099999999999994
1872,9,0.2499999999999991
1872,10,1.5266666666666668
1872,11,1.136666666666666
1872,12,2.993333333333336
1873,1,1.2766666666666664
1873,2,-1.0633333333333344
1873,3,2.413333333333332
1873,4,-0.8200000000000001
1873,5,-0.8900000000000001
1873,6,0.10000000000000053
1873,7,1.3800000000000008
1873,8,1.0899999999999999
1873,9,-0.5500000000000007
1873,10,1.5266666666666668
1873,11,0.336666666666666
1873,12,0.7933333333333357
1874,1,0.7766666666666664
1874,2,-0.7633333333333345
1874,3,-0.6866666666666674
1874,4,1.58
1874,5,-2.09
1874,6,0.7000000000000002
1874,7,2.1800000000000015
1874,8,-0.41000000000000014
1874,9,1.5499999999999998
1874,10,1.126666666666667
1874,11,-3.363333333333334
1874,12,-2.806666666666665
1875,1,1.376666666666666
1875,2,-2.863333333333335
1875,3,-0.9866666666666672
1875,4,-1.12
1875,5,2.2099999999999995
1875,6,0.7000000000000002
1875,7,-1.2199999999999989
1875,8,0.8900000000000006
1875,9,0.4499999999999993
1875,10,-0.47333333333333316
1875,11,-1.263333333333334
1875,12,-1.0066666666666642
1876,1,0.17666666666666586
1876,2,0.6366666666666658
1876,3,0.3133333333333326
1876,4,0.4799999999999999
1876,5,-1.6900000000000002
1876,6,0.0
1876,7,0.8800000000000008
1876,8,0.4900000000000002
1876,9,-1.0500000000000007
1876,10,2.426666666666667
1876,11,-1.063333333333334
1876,12,2.493333333333336
1877,1,2.676666666666666
1877,2,1.6366666666666658
1877,3,-1.4866666666666672
1877,4,-0.22000000000000008
1877,5,-1.6900000000000002
1877,6,2.1000000000000005
1877,7,-0.7199999999999989
1877,8,1.790000000000001
1877,9,-1.0500000000000007
1877,10,-1.873333333333333
1877,11,0.636666666666666
1877,12,-0.20666666666666433
1878,1,-0.8233333333333341
1878,2,1.7366666666666655
1878,3,-0.9866666666666672
1878,4,0.07999999999999996
1878,5,1.4099999999999997
1878,6,-0.20000000000000018
1878,7,-0.3199999999999985
1878,8,0.4900000000000002
1878,9,0.6499999999999995
1878,10,0.726666666666667
1878,11,-2.163333333333334
1878,12,-3.106666666666664
1879,1,0.07666666666666622
1879,2,0.836666666666666
1879,3,0.9133333333333322
1879,4,-1.22
1879,5,-2.6900000000000004
1879,6,-0.09999999999999964
1879,7,-2.3199999999999985
1879,8,1.9900000000000002
1879,9,0.6499999999999995
1879,10,0.02666666666666684
1879,11,-2.363333333333334
1879,12,-3.506666666666664
1880,1,-1.3233333333333341
1880,2,0.9366666666666656
1880,3,2.2133333333333325
1880,4,1.38
1880,5,0.6099999999999999
1880,6,-1.2999999999999998
1880,7,1.0800000000000018
1880,8,-0.41000000000000014
1880,9,0.6499999999999995
1880,10,1.126666666666667
1880,11,0.9366666666666661
1880,12,3.8933333333333353
1881,1,-2.423333333333334
1881,2,0.336666666666666
1881,3,1.8133333333333326
1881,4,0.37999999999999995
1881,5,0.5099999999999998
1881,6,-0.5
1881,7,2.080000000000002
1881,8,0.8900000000000006
1881,9,-1.450000000000001
1881,10,-2.1733333333333333
1881,11,3.136666666666666
1881,12,0.5933333333333355
1882,1,2.176666666666666
1882,2,0.13666666666666583
1882,3,2.5133333333333323
1882,4,-0.32000000000000006
1882,5,1.0100000000000002
1882,6,-0.7999999999999998
1882,7,-0.7199999999999989
1882,8,-1.3100000000000005
1882,9,-1.3500000000000005
1882,10,0.6266666666666669
1882,11,-1.063333333333334
1882,12,1.6933333333333351
1883,1,1.1766666666666659
1883,2,1.7366666666666655
1883,3,-3.286666666666668
1883,4,-1.12
1883,5,0.6099999999999999
1883,6,-0.5
1883,7,-1.1199999999999992
1883,8,-0.3100000000000005
1883,9,-0.8500000000000005
1883,10,-1.1733333333333331
1883,11,-1.063333333333334
1883,12,0.8933333333333353
1884,1,2.2766666666666664
1884,2,1.0366666666666653
1884,3,1.2133333333333325
1884,4,0.4799999999999999
1884,5,2.2099999999999995
1884,6,-2.5
1884,7,0.28000000000000114
1884,8,0.2900000000000009
1884,9,-0.05000000000000071
1884,10,-1.373333333333333
1884,11,-1.4633333333333338
1884,12,1.8933333333333353
1885,1,-1.7233333333333345
1885,2,2.336666666666666
1885,3,1.4133333333333322
1885,4,0.7799999999999999
1885,5,-1.59
1885,6,1.8999999999999995
1885,7,1.2800000000000011
1885,8,-0.10999999999999943
1885,9,-0.45000000000000107
1885,10,-1.4733333333333332
1885,11,0.836666666666666
1885,12,1.3933333333333353
1886,1,0.2766666666666664
1886,2,-1.9633333333333347
1886,3,-1.6866666666666674
1886,4,1.08
1886,5,0.9099999999999997
1886,6,-1.2000000000000002
1886,7,0.1800000000000015
1886,8,0.39000000000000057
1886,9,1.3499999999999988
1886,10,1.3266666666666667
1886,11,0.03666666666666618
1886,12,-0.20666666666666433
1887,1,-2.423333333333334
1887,2,-2.163333333333334
1887,3,-0.18666666666666742
1887,4,-1.12
1887,5,-1.79
1887,6,1.6000000000000005
1887,7,1.3800000000000008
1887,8,-0.20999999999999908
1887,9,-0.5500000000000007
1887,10,-3.5733333333333333
